provinsi,kabupaten,nik,nama,ttl,gender,goldar,alamat,rtrw,kelurahan,kecamatan,agama,perkawinan,pekerjaan,kewarganegaraan,berlaku,sign_place,sign_date
PROVINSI JAWA BARAT,KOTA BOGOR,3271051810845707,ERNAWATI,"BOGOR, 18-10-1984",PEREMPUAN,A,JL. CIPINANG KEBEMBEM RAWA MANGUN,003/008,KEDUNG HALANG,BOGOR UTARA,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,KOTA BOGOR,01-10-2016
PROVINSI SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU SELATAN,1609160203005161,BUDI ENIJATI MARIA SOEDJANA,"OGAN KOMERING ULU SELATAN, 02-03-2000",PEREMPUAN,A,JL TEBET BRT RAYA KAV 68,024/001,MUARA SINDANG TENGAH,SINDANG DANAU,ISLAM,KAWIN,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,OGAN KOMERING ULU SELATAN,11-06-2020
PROVINSI SUMATERA SELATAN,KABUPATEN BANYUASIN,1607072304848694,IRSANTO YAN,"MUARA PADANG, 23-04-1984",PEREMPUAN,A,JL MH THAMRIN 8-9 GED EXIM MELATI,001/011,DAYA MAKMUR,MUARA PADANG,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,BANYUASIN,20-03-2017
PROVINSI JAMBI,KABUPATEN MERANGIN,1502030104859441,SUHANGKAT LAKMUDIN,"MUARA SIAU, 01-04-1985",LAKI-LAKI,A,JL KAPT P TENDEAN 15,017/010,RANTAU PANJANG,MUARA SIAU,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,MERANGIN,25-05-2010
PROVINSI P A P U A,KABUPATEN JAYAPURA,9103130907997065,EDDY HERMAN,"WAIBU, 09-07-1999",PEREMPUAN,A,JL YRS I A/5,002/008,DOYO LAMA,WAIBU,ISLAM,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,JAYAPURA,31-03-2010
PROVINSI ACEH,KABUPATEN ACEH TENGGARA,1102070608665123,ARI ROPHIAN PERDANA ARIWIBOWO,"DARUL HASANAH, 06-08-1966",PEREMPUAN,O,JL KAPT P TENDEAN 15,018/022,SIMPANG IV TANJUNG,DARUL HASANAH,ISLAM,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,ACEH TENGGARA,08-02-2012
PROVINSI JAWA TENGAH,KABUPATEN KLATEN,3310041308724152,ELIZABETH ALICIA,"BAYAT, 13-08-1972",PEREMPUAN,O,JL METRO PERMATA BL H-2/2,026/006,TAWANGREJO,BAYAT,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,KLATEN,06-10-2016
PROVINSI JAWA TENGAH,KABUPATEN PATI,3318160510697707,SEFRIE RORING,"PATI, 05-10-1969",LAKI-LAKI,O,JL PROF SUPOMO SH KOMPL,005/010,LANGGENHARJO,MARGOYOSO,ISLAM,BELUM KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,PATI,20-04-2018
PROVINSI JAWA TIMUR,KABUPATEN LUMAJANG,3508051803950181,GITA WIRAWAN HARAHAP,"LUMAJANG, 18-03-1995",LAKI-LAKI,O,JL. PECENONGAN NO 09,004/019,LEMPENI,TEMPEH,KRISTEN,KAWIN,SOPIR,WNI,SEUMUR HIDUP,LUMAJANG,20-01-2020
PROVINSI JAWA TENGAH,KABUPATEN KENDAL,3324131403025449,RICHARD L. MCADOO,"CEPIRING, 14-03-2002",PEREMPUAN,O,JL HAYAM WURUK 6,003/009,GONDANG,CEPIRING,ISLAM,CERAI MATI,KEPOLISISAN RI,WNI,SEUMUR HIDUP,KENDAL,02-05-2017
PROVINSI JAWA BARAT,KABUPATEN GARUT,3205061503607836,RACHMAT GUNAWAN,"GARUT, 15-03-1960",PEREMPUAN,O,JL HR RASUNA SAID BL X-2,016/012,BANYURESMI,BANYURESMI,ISLAM,CERAI HIDUP,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,GARUT,21-01-2019
PROVINSI KALIMANTAN SELATAN,KABUPATEN HULU SUNGAI SELATAN,6306052709784578,OERIP WIRONTONO,"KANDANGAN, 27-09-1978",PEREMPUAN,AB,JL JEND SUDIRMAN 28 WISMA GKBI,017/029,TIBUNG RAYA,KANDANGAN,ISLAM,BELUM KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,HULU SUNGAI SELATAN,25-04-2019
PROVINSI BALI,KABUPATEN BANGLI,5106012108922118,WIBOWO SUSENO WIRJAWAN,"SUSUT, 21-08-1992",PEREMPUAN,B,"JALAN BY PASS AHMAD YANI, BOUGENVILLE TOWER LT 20 GB",005/021,SULAHAN,SUSUT,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,BANGLI,12-08-2015
PROVINSI JAWA BARAT,KABUPATEN KUNINGAN,3208101107934243,ENDAH SULISTYORINI HIMAWAN,"CIAWIGEBANG, 11-07-1993",LAKI-LAKI,-,JL LANGSAT I 3-PAV,010/006,GERESIK,CIAWIGEBANG,ISLAM,BELUM KAWIN,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,KUNINGAN,01-01-2017
PROVINSI KALIMANTAN SELATAN,KABUPATEN HULU SUNGAI UTARA,6308100402859857,ERNAWATI,"HULU SUNGAI UTARA, 04-02-1985",PEREMPUAN,B,JL NANGKA 18,030/022,GAMPA RAYA,SUNGAI TABUKAN,ISLAM,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,HULU SUNGAI UTARA,13-09-2011
PROVINSI P A P U A,KABUPATEN KEEROM,9111082910027397,AGUS SUHERMAN WIRJAN,"ARSO BARAT, 29-10-2002",LAKI-LAKI,O,JL CIPINANG CEMPEDAK I 45,001/013,IFIA-FIA,ARSO BARAT,ISLAM,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,KEEROM,03-03-2011
PROVINSI MALUKU UTARA,KABUPATEN HALMAHERA SELATAN,8204072806915127,RONNY LUKITO,"BACAN TIMUR, 28-06-1991",LAKI-LAKI,O,JL PROF DR SATRIO MAL AMBASADOR 2,030/017,SAYOANG,BACAN TIMUR,ISLAM,KAWIN,PERANGKAT DESA,WNI,SEUMUR HIDUP,HALMAHERA SELATAN,11-08-2012
PROVINSI LAMPUNG,KABUPATEN TANGGAMUS,1806210101015965,AMAN,"TANGGAMUS, 01-01-2001",PEREMPUAN,AB,JL ALTERI MANGGA DUA KOMPL DUTA PERTIWI BL H-2/5,006/003,BANJAR NEGERI,GUNUNG ALIP,ISLAM,CERAI MATI,SOPIR,WNI,SEUMUR HIDUP,TANGGAMUS,28-09-2014
PROVINSI JAWA TIMUR,KABUPATEN MOJOKERTO,3516051002647268,TAN OLINDA DEWI,"NGORO, 10-02-1964",PEREMPUAN,O,JL YRS I A/5,001/010,WONOSARI,NGORO,ISLAM,CERAI MATI,PEDAGANG,WNI,SEUMUR HIDUP,MOJOKERTO,08-10-2014
PROVINSI SULAWESI SELATAN,KABUPATEN SIDENRENG RAPPANG,7314050103643028,XU JUN,"SIDENRENG RAPPANG, 01-03-1964",PEREMPUAN,A,"JL. BOULEVARD TIMUR NO. 88, KELAPA GADING",021/029,LELEBATA,PANCA RIJANG,ISLAM,CERAI HIDUP,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,SIDENRENG RAPPANG,06-09-2013
PROVINSI NUSA TENGGARA TIMUR,KABUPATEN LEMBATA,5313011610962614,DJOHAN ISHARDJO,"LEMBATA, 16-10-1996",LAKI-LAKI,-,JL PALEM VI 70,007/003,ILEBOLI,NAGA WUTUNG,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,LEMBATA,23-03-2019
PROVINSI ACEH,KABUPATEN PIDIE JAYA,1118070606787800,RUSTIYAN OEN,"PIDIE JAYA, 06-06-1978",PEREMPUAN,O,JL RADEN SALEH 44 WISMA TUGU RADEN SALEH LT 7,019/030,HAGU,PANTERAJA,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,PIDIE JAYA,18-11-2011
PROVINSI MALUKU,KABUPATEN SERAM BAGIAN TIMUR,8105040404800855,CHOO KHEE,"SERAM BAGIAN TIMUR, 04-04-1980",PEREMPUAN,A,JL DANAU SEMAYANG I BL B-I/118,001/011,KILALIR KILWOUW,PULAU GOROM,ISLAM,BELUM KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,SERAM BAGIAN TIMUR,28-04-2020
PROVINSI KALIMANTAN BARAT,KABUPATEN SINTANG,6105081410895104,DR. CHEAM SOON TEE,"SINTANG, 14-10-1989",PEREMPUAN,O,JL MERUYA ILIR RAYA 83 C,012/023,SUNGAI MERAYA,KAYAN HILIR,ISLAM,BELUM KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,SINTANG,29-01-2010
PROVINSI SULAWESI BARAT,KABUPATEN MAMUJU,7602133006940558,MIRANDA TEDJASAPUTRA,"TAPALANG BARAT, 30-06-1994",PEREMPUAN,O,JL MH THAMRIN 8-9 GED EXIM MELATI,023/006,PASABU,TAPALANG BARAT,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,MAMUJU,11-06-2013
PROVINSI P A P U A,KOTA JAYAPURA,9171011009582173,ENDY SURYOKUSUMO,"JAYAPURA, 10-09-1958",LAKI-LAKI,O,JL JATIMAKMUR RAYA 8,027/004,TANJUNG RIA,JAYAPURA UTARA,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,KOTA JAYAPURA,30-05-2012
PROVINSI JAWA TENGAH,KABUPATEN PATI,3318181303963921,FAIZAN ABDUL RAHAN,"CLUWAK, 13-03-1996",LAKI-LAKI,O,JL LETJEN TB SIMATUPANG 88,023/008,BLEBER,CLUWAK,ISLAM,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,PATI,09-10-2020
PROVINSI P A P U A,KABUPATEN PUNCAK,9125090105683665,KEN IRWAN,"PUNCAK, 01-05-1968",PEREMPUAN,AB,JL KWITANG RAYA 34,026/026,DUAITA,DERVOS,ISLAM,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,PUNCAK,11-06-2014
PROVINSI JAWA TENGAH,KABUPATEN KENDAL,3324051903598479,JAMES KALLMAN,"KENDAL, 19-03-1959",PEREMPUAN,B,JL PD JAYA II 21,021/007,TRAYU,SINGOROJO,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,KENDAL,13-08-2014
PROVINSI SUMATERA UTARA,KOTA PEMATANGSIANTAR,1272072605640484,TJONG TJE LIONG,"SIANTAR SITALASARI, 26-05-1964",PEREMPUAN,B,JL DERMAGA 93,003/023,SETIA NEGARA,SIANTAR SITALASARI,ISLAM,CERAI HIDUP,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,KOTA PEMATANGSIANTAR,28-03-2011
PROVINSI SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277043105612623,JUNITA CIPUTRA,"PADANGSIDIMPUAN, 31-05-1961",PEREMPUAN,O,JL GURU SERIH 38,015/030,TINJOMAN LAMA,PADANGSIDIMPUAN HUTAIMBARU,ISLAM,CERAI HIDUP,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,KOTA PADANGSIDIMPUAN,08-11-2011
PROVINSI JAWA TENGAH,KABUPATEN MAGELANG,3308011104972385,DAMSIRUDDIN SIREGAR,"MAGELANG, 11-04-1997",PEREMPUAN,B,JL SUNTER KEMAYORAN RAYA 2,009/029,NGAMPELDENTO,SALAMAN,ISLAM,BELUM KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,MAGELANG,07-08-2016
PROVINSI SUMATERA UTARA,KABUPATEN LANGKAT,1205112603579538,DON MACDONALD,"LANGKAT, 26-03-1957",PEREMPUAN,AB,JL PD JAYA II 21,010/020,SERAPUH ASLI,TANJUNG PURA,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,LANGKAT,12-09-2015
PROVINSI P A P U A,KABUPATEN WAROPEN,9115150412760130,NURDIN HASJIM JOHANES,"SOYOI MAMBAI, 04-12-1976",PEREMPUAN,A,JL TJ DUREN UTR BL 3-A/330,027/011,SINABO,SOYOI MAMBAI,ISLAM,CERAI HIDUP,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,WAROPEN,15-11-2014
PROVINSI JAWA TENGAH,KABUPATEN PEMALANG,3327061501770220,MELVIN,"BANTARBOLANG, 15-01-1977",PEREMPUAN,A,JL BUARAN III 27,002/022,SARWODADI,BANTARBOLANG,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,PEMALANG,24-09-2019
PROVINSI JAWA TENGAH,KABUPATEN BREBES,3329132803981263,PRIYATNO SULISTO,"BREBES, 28-03-1998",LAKI-LAKI,A,JL MENTENG ATAS 28,003/029,SENGON,TANJUNG,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,BREBES,27-10-2020
PROVINSI SULAWESI SELATAN,KOTA MAKASSAR,7371113107673465,BUDIMAN EFFENDI,"BIRINGKANAYA, 31-07-1967",PEREMPUAN,A,JL LAPANGAN BOLA 3,025/020,BERUA,BIRINGKANAYA,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,KOTA MAKASSAR,11-04-2016
PROVINSI DAERAH ISTIMEWA YOGYAKARTA,KABUPATEN GUNUNGKIDUL,3403073007736368,MOHAMAD ISKANDAR,"TEPUS, 30-07-1973",PEREMPUAN,O,JL GELONG BARU 35,016/016,SIDOHARJO,TEPUS,ISLAM,BELUM KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,GUNUNGKIDUL,06-05-2016
PROVINSI JAWA TIMUR,KABUPATEN PAMEKASAN,3528121003663616,JOACHIM U. ROHN,"KADUR, 10-03-1966",LAKI-LAKI,-,"JL. SARIBENA GG. BARU, KEBAYORAN LAMA UTARA",028/002,KERTAGENA LAOK,KADUR,ISLAM,KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,PAMEKASAN,12-05-2020
PROVINSI JAWA TIMUR,KABUPATEN JEMBER,3509290804002991,RUDY TEMASOA LUWIA ,"JEMBER, 08-04-2000",LAKI-LAKI,O,JL JEND SUDIRMAN KAV 36 WISMA BENHIL BL C-4/RUANG 402,004/018,ARJASA,SUKOWONO,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,JEMBER,14-04-2020
PROVINSI SUMATERA UTARA,KABUPATEN TAPANULI SELATAN,1203040110925851,EDIANTO PRASETYO,"SIPIROK, 01-10-1992",PEREMPUAN,-,JL H SOLEH 40,007/010,RAMBA SIHASUR,SIPIROK,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,TAPANULI SELATAN,04-10-2016
PROVINSI JAWA BARAT,KOTA DEPOK,3276061104039691,BAYU PRAWITASARI,"BEJI, 11-04-2003",LAKI-LAKI,B,JL JEND SUDIRMAN,017/006,TANAH BARU,BEJI,ISLAM,BELUM KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,KOTA DEPOK,25-11-2018
PROVINSI LAMPUNG,KABUPATEN LAMPUNG SELATAN,1801063006801869,EMY HARJONO,"KALIANDA, 30-06-1980",LAKI-LAKI,B,JL GN SAHARI RAYA 18 MASPION,001/020,SUMUR KUMBANG,KALIANDA,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,LAMPUNG SELATAN,29-09-2017
PROVINSI BENGKULU,KABUPATEN BENGKULU UTARA,1703012603750552,HABIB HUSYEN ALAIDRUS,"BENGKULU UTARA, 26-03-1975",PEREMPUAN,O,JL MH THAMRIN 8-9 GED EXIM MELATI,030/021,MEOK,ENGGANO,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,BENGKULU UTARA,10-11-2018
PROVINSI SUMATERA UTARA,KOTA GUNUNGSITOLI,1278061410850995,WIWIN UNTARI ANDOKO,"GUNUNGSITOLI BARAT, 14-10-1985",LAKI-LAKI,O,JL MERUYA ILIR RAYA 83 C,029/026,TUMORI,GUNUNGSITOLI BARAT,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,KOTA GUNUNGSITOLI,27-05-2011
PROVINSI BENGKULU,KABUPATEN SELUMA,1705051903642377,STEPHEN PATRA,"SEMIDANG ALAS MARAS, 19-03-1964",PEREMPUAN,O,"JLN. JAMBORE RAYA, CIBUBUR",027/017,JAMBAT AKAR,SEMIDANG ALAS MARAS,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,SELUMA,17-09-2015
PROVINSI KALIMANTAN SELATAN,KABUPATEN BANJAR,6303091312590447,EDY SUSANTO,"PENGAROM, 13-12-1959",PEREMPUAN,B,JL RAYA MERUYA ILIR RUKO TAMAN KEBON JERUK BL A-9/4-5,022/008,LOK TUNGGUL,PENGAROM,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,BANJAR,19-10-2015
PROVINSI JAWA BARAT,KABUPATEN SUMEDANG,3211241712759664,FAN CHIANG,"TOMO, 17-12-1975",LAKI-LAKI,B,JL MENTENG ATAS 28,027/028,CIPELES,TOMO,KRISTEN,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,SUMEDANG,06-11-2011
PROVINSI NUSA TENGGARA TIMUR,KABUPATEN BELU,5304212407676855,ATIRA AKSA,"ATAMBUA BARAT, 24-07-1967",PEREMPUAN,A,JL RAYA TENGAH 30,015/004,TULAMALAE,ATAMBUA BARAT,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,BELU,30-04-2010
PROVINSI PAPUA BARAT,KABUPATEN MANOKWARI,9202212203925301,RIZAL RISJAD,"SIDEY, 22-03-1992",LAKI-LAKI,B,JL JATI WARINGIN I RAYA,001/017,WARIKI,SIDEY,ISLAM,CERAI HIDUP,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,MANOKWARI,08-03-2014
PROVINSI SULAWESI SELATAN,KABUPATEN ENREKANG,7316070405650788,EDIANTO PRASETYO,"CENDANA, 04-05-1965",PEREMPUAN,AB,JL JEND GATOT SUBROTO KAV 72 WISMA ALDIRON DIRGANTARA,004/028,LEBANG,CENDANA,HINDU,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,ENREKANG,15-04-2019
PROVINSI ACEH,KABUPATEN ACEH TENGGARA,1102070711681803,RAMCHAND VASWANI,"DARUL HASANAH, 07-11-1968",PEREMPUAN,A,JL RAYA ARJUNA SLT PERK KEBUN JERUK BARU BL C/4,018/009,TANJUNG LAMA,DARUL HASANAH,ISLAM,BELUM KAWIN,NELAYAN/PERIKANAN,WNI,SEUMUR HIDUP,ACEH TENGGARA,11-11-2015
PROVINSI JAWA TENGAH,KABUPATEN SUKOHARJO,3311072108758365,GO SRI HARTATI,"SUKOHARJO, 21-08-1975",LAKI-LAKI,O,JL MERUYA ILIR RAYA 83 C-D,022/012,BULU,POLOKARTO,ISLAM,KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,SUKOHARJO,15-05-2019
PROVINSI PAPUA BARAT,KABUPATEN PEGUNUNGAN ARFAK,9212052108034173,ALBERT SUHERMAN,"PEGUNUNGAN ARFAK, 21-08-2003",PEREMPUAN,A,JL YRS I A/5,027/003,SNEREMER,DIDOHU,KATHOLIK,CERAI HIDUP,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,PEGUNUNGAN ARFAK,24-12-2015
PROVINSI KALIMANTAN BARAT,KABUPATEN LANDAK,6108021010598638,HENDRA HARJADI,"MEMPAWAH HULU, 10-10-1959",PEREMPUAN,-,JL CILILITAN KECIL III,009/002,SALUMANG,MEMPAWAH HULU,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,LANDAK,11-01-2020
PROVINSI JAWA TIMUR,KABUPATEN NGANJUK,3518141104724389,IWAN VALIANT JOESOEF,"BAGOR, 11-04-1972",PEREMPUAN,B,JL. HR. RASUNA SAID,011/017,SUGIHWARAS,BAGOR,ISLAM,CERAI MATI,GURU,WNI,SEUMUR HIDUP,NGANJUK,09-02-2011
PROVINSI KEPULAUAN RIAU,KABUPATEN LINGGA,2104061704018555,IRWAN ATMADJA DINATA,"SINGKEP PESISIR, 17-04-2001",LAKI-LAKI,B,JL YRS I A/5,021/022,LANJUT,SINGKEP PESISIR,KRISTEN,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,LINGGA,25-10-2019
PROVINSI SUMATERA UTARA,KABUPATEN TAPANULI SELATAN,1203052010728157,SURJANTORO SISWANTO,"SAIPAR DOLOK HOLE, 20-10-1972",PEREMPUAN,O,JL SWADAYA 18,001/021,DAMPARAN HAUNATAS,SAIPAR DOLOK HOLE,ISLAM,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,TAPANULI SELATAN,04-11-2013
PROVINSI JAWA TENGAH,KABUPATEN SEMARANG,3322030811697595,JUNANDA ISKANDAR,"SEMARANG, 08-11-1969",LAKI-LAKI,O,JL PD BAMBU ASRI UTR I 4,022/005,KENTENG,SUSUKAN,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,SEMARANG,07-08-2012
PROVINSI JAWA TENGAH,KABUPATEN BATANG,3325011301629357,EDY SUWARNO,"WONOTUNGGAL, 13-01-1962",PEREMPUAN,A,"JL. PALAPA RAYA NO. 2, PASAR MINGGU",020/005,WATES,WONOTUNGGAL,ISLAM,CERAI HIDUP,WIRASWASTA,WNI,SEUMUR HIDUP,BATANG,08-06-2019
PROVINSI NUSA TENGGARA TIMUR,KABUPATEN TIMOR TENGAH SELATAN,5302111111618979,MICHAEL D. TWOMEY,"TIMOR TENGAH SELATAN, 11-11-1961",PEREMPUAN,A,JL ARTERI KEDOYA 16,011/026,KUSI UTARA,KUANFATU,ISLAM,BELUM KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,TIMOR TENGAH SELATAN,14-06-2014
PROVINSI PAPUA BARAT,KABUPATEN MAYBRAT,9210190401830514,ARTHA MITRA INTERDATA,"AYAMARU UTARA TIMUR, 04-01-1983",LAKI-LAKI,O,JL CEGER RAYA 42 A,024/019,KOSAH,AYAMARU UTARA TIMUR,KATHOLIK,KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,MAYBRAT,20-04-2014
PROVINSI JAWA BARAT,KABUPATEN PANGANDARAN,3218022302920877,RICHARD L. MCADOO,"CIJULANG, 23-02-1992",PEREMPUAN,A,JL RS FATMAWATI 39 KOMPL DUTA MAS FATMAWATI BL B-1/17,009/013,KONDANGJAJAR,CIJULANG,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,PANGANDARAN,16-07-2016
PROVINSI KALIMANTAN TIMUR,KABUPATEN KUTAI TIMUR,6408061909751615,RUNI ADIANTI,"BUSANG, 19-09-1975",PEREMPUAN,A,JL GERAJA SHIP HOUSE VILLA BINTARO,002/028,MEKAR BARU,BUSANG,KRISTEN,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,KUTAI TIMUR,15-07-2012
PROVINSI JAMBI,KABUPATEN BATANGHARI,1504012712578078,ALICE HARYONO,"MERSAM, 27-12-1957",LAKI-LAKI,B,JL RAYA PASAR MINGGU,028/023,PEMATANG GADUNG,MERSAM,ISLAM,CERAI MATI,WIRASWASTA,WNI,SEUMUR HIDUP,BATANGHARI,31-05-2011
PROVINSI BENGKULU,KABUPATEN KAUR,1704021702764296,M. A. ISMAIL NING,"TANJUNG KEMUNING, 17-02-1976",PEREMPUAN,O,PALEM LESTARI BLOK A,028/020,PELAJARAN,TANJUNG KEMUNING,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,KAUR,05-03-2010
PROVINSI SULAWESI TENGGARA,KOTA BAU BAU,7472041003714608,BAGUS PANUNTUN,"BAU BAU, 10-03-1971",PEREMPUAN,A,JL RAYA KALI MALANG 8,003/027,WALIABUKU,BUNGI,ISLAM,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,KOTA BAU BAU,15-08-2018
PROVINSI SULAWESI TENGAH,KABUPATEN BANGGAI KEPULAUAN,7207180307823026,WEN SHYANG SONG,"BUKO SELATAN, 03-07-1982",PEREMPUAN,B,JL ADITIAWARMAN I 6,020/005,LANDONAN BEBEAU,BUKO SELATAN,ISLAM,BELUM KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,BANGGAI KEPULAUAN,27-11-2019
PROVINSI JAWA TIMUR,KABUPATEN PASURUAN,3514182201759950,OMAR AZHARI,"PASURUAN, 22-01-1975",LAKI-LAKI,O,JL NANGKA 18,024/009,WONOSARI,GONDANGWETAN,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,PASURUAN,21-06-2013
PROVINSI ACEH,KABUPATEN ACEH BESAR,1106110512776254,RUNI ADIANTI,"KUTA BARO, 05-12-1977",LAKI-LAKI,AB,JL WOLTER MONGINSIDI RAYA,005/009,BEURANGONG,KUTA BARO,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,ACEH BESAR,25-10-2011
PROVINSI JAWA TIMUR,KABUPATEN PASURUAN,3514120703925097,TAN LUNARDI,"PASURUAN, 07-03-1992",PEREMPUAN,B,JL KH ABDULLAH SYAFEI 7 WISMA LAENA,018/024,KARANGREJO,GEMPOL,ISLAM,BELUM KAWIN,BIDAN,WNI,SEUMUR HIDUP,PASURUAN,07-11-2014
PROVINSI SUMATERA UTARA,KABUPATEN TAPANULI UTARA,1202010111736698,SUGIHARTO TAMRIN,"TARUTUNG, 01-11-1973",PEREMPUAN,B,JL LETJEN TB SIMATUPANG,001/022,PARBAJU TORUAN,TARUTUNG,ISLAM,CERAI MATI,WIRASWASTA,WNI,SEUMUR HIDUP,TAPANULI UTARA,20-01-2020
PROVINSI JAWA TIMUR,KABUPATEN LUMAJANG,3508140511006567,JOGI HENDRA ATMADJA,"LUMAJANG, 05-11-2000",PEREMPUAN,A,JL TJ DUREN BRT V 2 RT 006/01,009/007,KALISEMUT,PADANG,ISLAM,KAWIN,NELAYAN/PERIKANAN,WNI,SEUMUR HIDUP,LUMAJANG,04-03-2011
PROVINSI JAWA BARAT,KABUPATEN KUNINGAN,3208071812038201,MELISA PATRICIA TANOKO,"LEBAKWANGI, 18-12-2003",LAKI-LAKI,A,JL AIPDA KS TUBUN DLM III 29,001/013,MANGGARI,LEBAKWANGI,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,KUNINGAN,13-03-2015
PROVINSI SUMATERA UTARA,KABUPATEN NIAS,1204210101664752,ERICK DJUWADI,"NIAS, 01-01-1966",LAKI-LAKI,-,JL WOLTER MONGINSIDI RAYA 125,010/013,SIMANAERE BOTOMUZOI,BOTOMUZOI,ISLAM,CERAI MATI,WIRASWASTA,WNI,SEUMUR HIDUP,NIAS,19-06-2017
